Incident_ID;Injury;Gender;School_Affiliation;Age;Race
20240326NJWEN;Wounded;Male;Student;17;
20240326NJWEN;Wounded;Male;Student;15;
20240326NJWEN;Non-gunshot Injury;;Student;Teen;
20240325HIWAW;Wounded;Female;No Relation;21;
20240321NJMAN;Fatal;Male;No Relation;Adult;
20240320OHBOC;Wounded;Male;No Relation;18;
20240320ILBUC;Fatal;Male;;14;
20240319DETHW;Wounded;Male;;17;
20240316TNKEC;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20240314OHLOD;Fatal;Male;No Relation;16;
20240314OHLOD;Fatal;Male;No Relation;14;
20240313WAGAS;Wounded;Female;Student;17;
20240313MDWIB;Fatal;Female;No Relation;49;
20240311TXCHT;Fatal;;Nonstudent Using Athletic Facilities/Attending Game;1;
20240307NYPSB;Fatal;Male;;17;
20240305INHAL;Wounded;Male;No Relation;14;
20240304TNBRB;Non-gunshot Injury;Female;Student;Teen;
20240302MONOK;Wounded;;Student;Teen;
20240302MONOK;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20240301LACAC;Fatal;Male;Student;18;
20240228NCWAG;Wounded;Male;No Relation;27;
20240226TXODO;Wounded;Female;Student;Teen;
20240221AZCAT;Wounded;Female;No Relation;Adult;
20240220ALPEP;Non-gunshot Injury;Male;Student;Teen;
20240215FLSHC;Non-gunshot Injury;;Student;Child;
20240214GABEA;Wounded;;Student;17;
20240214GABEA;Wounded;;Student;18;
20240214GABEA;Wounded;;Student;17;
20240214GABEA;Wounded;;Student;18;
20240213TNRAM;Non-gunshot Injury;Female;Student;Teen;
20240212OHBEB;Non-gunshot Injury;Male;Student;Teen;
20240212IDCOI;Fatal;;No Relation;;
20240212IDCOI;Wounded;;No Relation;;
20240212IDCOI;Wounded;;No Relation;;
20240212IDCOI;Non-gunshot Injury;;No Relation;;
20240212CAELC;Fatal;Male;No Relation;14;
20240212CAELC;Wounded;Male;No Relation;Teen;
20240211CAMAB;Fatal;Male;No Relation;Adult;
20240209GATRE;Fatal;Male;Student;15;
20240209GATRE;Non-gunshot Injury;Male;Student;Teen;
20240208MDBEB;None;Male;Student;Teen;
20240208TNMEN;Fatal;Male;No Relation;16;
20240208TNMEN;Fatal;Male;No Relation;17;
2024207TXKUH;Fatal;Male;No Relation;Adult;
20240206TNNOC;Wounded;;;;
20240201TNHAN;None;Male;Student;14;
20240201GAMCP;Wounded;Male;Nonstudent;21;
20240201GAMCP;Wounded;;Nonstudent;Teen;
20240131CADUD;Wounded;Female;Student;Teen;
20240131ILCHC;Fatal;Male;Student;16;
20240131ILCHC;Wounded;Male;Student;16;
20240131ILCHC;Wounded;Male;Student;15;
20240130CAGRS;Wounded;Male;Student;17;
20240130ALLEM;Wounded;Male;Student;15;
20240130ALLEM;Wounded;Male;Student;17;
20240129TXCOA;Wounded;Male;Student;Teen;
20240126ILINC;Fatal;Male;Student;16;Black
20240126ILINC;Fatal;Male;Student;17;Black
20240124TNWEM;Fatal;Male;Parent;24;
20240122ILCIC;Fatal;Male;Student;18;Black
20240122ILCIC;Wounded;Male;Relative;27;Black
20240117MDCHE;Fatal;Male;Other Staff;37;Hispanic
20240113INLAF;Fatal;Male;;Child;
20240112OHROD;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;20;
20240111FLNOM;Wounded;Male;Student;15;
20240111LABOB;Fatal;Male;Student;14;
20240111LABOB;Wounded;Male;Student;13;
20240109TXACH;Fatal;Male;No Relation;Adult;
20240108MSSIS;Wounded;Male;Student;16;
20240104IAPEP;Fatal;Male;Student;11;
20240104IAPEP;Wounded;;Student;;
20240104IAPEP;Wounded;;Student;;
20240104IAPEP;Wounded;;Student;;
20240104IAPEP;Wounded;;Student;;
20240104IAPEP;Fatal;Male;Other Staff;Adult;56
20240104IAPEP;Wounded;;Other Staff;Adult;
20240104IAPEP;Wounded;;Other Staff;Adult;
20240103VAMAM;Wounded;Female;Student;18;
20231226RIEME;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231220NJKIN;Wounded;;;13;
20231219COLEC;Wounded;;No Relation;;
20231219COLEC;Wounded;;No Relation;;
20231219TXCYK;Fatal;Male;Student;17;
20231208MONOS;Wounded;Female;No Relation;Adult;
20231208VAWOW;Non-gunshot Injury;Male;Student;17;
20231208VAWOW;Non-gunshot Injury;Female;Student;17;
20231208VAWOW;Non-gunshot Injury;;Student;Teen;
20231208NMATA;Fatal;Male;Student;16;
20231205TXNOA;Wounded;Male;Police Officer/SRO;Adult;
20231201OHNOC;Wounded;Male;No Relation;62;
20231201DCKIW;Wounded;Male;Student;17;
20231128TXNOH;Wounded;Male;Student;16;
20231126OHEDD;Wounded;Male;;15;
20231123OHSOC;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;30;
20231119ILURU;Wounded;Male;No Relation;21;
20231116OHSTC;Fatal;Male;No Relation;25;
2023113KYJEL;Non-gunshot Injury;Female;Other Staff;Adult;
20231113NJCEN;Wounded;Male;Student;15;
20231110CAVAV;Wounded;Male;Student;Teen;
20231109NVLAL;Fatal;Male;No Relation;Adult;
20231109ALESA;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20231109ALESA;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20231103INKII;Fatal;Male;Student;15;
20231102ALSMS;None;Male;Student;Teen;
20231102ALSMS;None;Female;Other Staff;Adult;
20231030NCRAR;Non-gunshot Injury;;Other Staff;Adult;
20231030NCRAR;Non-gunshot Injury;;Student;Teen;
20231027TXDUS;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231027LADOD;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231027LADOD;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231027MDCAB;Wounded;Male;Student;Teen;
20231027MIDED;Wounded;Male;Student;15;
20231026CALEL;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231024MDEDW;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20231026FLNFJ;Wounded;Female;No Relation;Adult;
20231020FLLIT;Non-gunshot Injury;Male;Student;Teen;
20231019TXNAA;Wounded;Male;Student;Teen;
20231019CAGRF;Wounded;Male;No Relation;15;
20231015OHEAT;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;26;
20231015TXFRD;Fatal;Male;No Relation;30;
20231015TXFRD;Wounded;Male;No Relation;24;
20231013OHCLC;Wounded;Male;Student;15;
20231011CAMAL;Wounded;Male;No Relation;Adult;Latino
20231011FLMIM;Fatal;Male;No Relation;Adult;
20231011TXSEF;Fatal;Female;Other Staff;56;
20231010SCDAD;Fatal;Male;Student;16;
20231006MIOAO;Wounded;Male;Student;Teen;
20231006MIOAO;Wounded;Male;Student;Teen;
20231004COROD;Wounded;Male;Parent;Adult;
20231004GASAS;Wounded;Male;Student;Teen;
20231002CAALL;Wounded;Male;Student;16;
20230930GAGRG;Fatal;Male;Student;14;
20230929NCDUG;Non-gunshot Injury;;;;
20230929NCDUG;Non-gunshot Injury;;;;
20230929NCDUG;Wounded;Female;Student;Teen;
20230929NCDUG;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20230925MDGIB;Fatal;Male;No Relation;15;
20230923OHMAC;None;Female;;Adult;
20230922TNWEM;Wounded;Male;Student;13;
20230920ILVOC;Wounded;Male;No Relation;15;
20230919TXKEB;Non-gunshot Injury;Male;Student;10;
20230919FLWOP;Wounded;Male;;Adult;
20230916OHEAC;Wounded;Male;No Relation;21;
20230915ILHIC;Fatal;Male;Student;14;
20230915MDJAB;Wounded;Female;No Relation;14;
20230915MDJAB;Wounded;Male;No Relation;17;
20230913GALAA;Wounded;Female;Parent;Adult;
20230913DCLIW;Wounded;Male;;Adult;
20230912WAEIY;Wounded;Male;Student;14;
20230912LASTG;Fatal;Male;Student;16;
20230912LASTG;Wounded;;Student;Teen;
20230912LASTG;Wounded;;Student;Teen;
20230911MDDUL;Fatal;Female;Student;16;
20230909NYPRU;Wounded;Male;Security Guard;Adult;
20230901MDDUB;Wounded;Male;Student;12;
20230901ILMOC;Wounded;Male;Student;15;
20230901ILMOC;Wounded;Female;Student;16;
20230901LAPOP;Fatal;Male;Student;16;
20230901LAPOP;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;28;
20230831KSWEW;Non-gunshot Injury;;Student;Teen;
20230831KSWEW;Non-gunshot Injury;;Student;Teen;
20230831KSWEW;Non-gunshot Injury;;Student;Teen;
20230831MSBRB;None;Male;Student;Child;
20230825CADRL;Wounded;Female;Other Staff;Adult;
20230825OKCHC;Wounded;Female;Student;Teen;
20230825OKCHC;Fatal;Male;Student;16;
20230825OKCHC;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;42;
20230825OKCHC;Non-gunshot Injury;Female;Student;;
20230825OKCHC;Non-gunshot Injury;Female;Student;;
20230824NMRAT;Fatal;Male;;Adult;
20230824VAWAP;Fatal;Male;No Relation;19;
20230824AZPHP;Non-gunshot Injury;;Student;Child;
20230824VAKEV;Wounded;Male;;16;
20230824VAKEV;Wounded;Male;;19;
20230823MDTOT;Wounded;Male;Student;Teen;
20230818GANOK;Wounded;Male;Student;17;
20230818CAETR;Wounded;Male;Student;16;
20230818GAJOJ;Wounded;Male;Student;18;
20230818MSPAP;Wounded;Male;Student;16;
20230816GAJOA;Wounded;Male;Student;Teen;
20230731TNMAM;None;Male;Other Staff;Adult;
20230726DCMAW;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;;
20230725TNFRM;Wounded;Male;Security Guard;Adult;
20230725NCJUC;Wounded;Male;No Relation;Adult;
20230724PAJOH;Fatal;Male;No Relation;26;
20230718NYFRB;Fatal;Male;Student;15;
20230716GALOH;Fatal;Female;No Relation;19;
20230714NYKIT;Wounded;Male;No Relation;16;
20230714TXJAS;None;Male;No Relation;28;
20230708ALWOB;Fatal;Female;No Relation;20;
20230708ALWOB;Wounded;Female;No Relation;Adult;
20230707MDPIP;Fatal;Female;No Relation;45;
20230706OHHUC;Wounded;Male;No Relation;Adult;
20230702MNUNF;Non-gunshot Injury;Male;Student;Child;
20230623NMKEA;Wounded;Male;Other Staff;Adult;
20230613PAJUP;Wounded;Male;No Relation;24;
20230612NJRIM;Fatal;Male;No Relation;20;
20230612GAKEC;Wounded;Male;;;
20230609DCTUW;Wounded;Male;No Relation;Adult;
20230606VAHUR;Fatal;Male;Student;18;
20230606VAHUR;Fatal;Male;Relative;31;
20230606VAHUR;Wounded;Male;Relative;14;
20230606VAHUR;Wounded;Male;Relative;42;
20230606VAHUR;Wounded;Male;Relative;55;
20230606VAHUR;Wounded;Male;Relative;58;
20230606VAHUR;Wounded;;Relative;31;
20230606VAHUR;Non-gunshot Injury;Female;Relative;7;
20230602MAWOW;Wounded;Male;No Relation;22;
20230601TXCAF;Wounded;Male;No Relation;Adult;
20230531CABAB;Fatal;Male;;20;Black
20230528GABEA;Fatal;Female;Student;16;
20230528GABEA;Wounded;Male;Student;16;
20230525OHBEC;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20230525MNWAM;Non-gunshot Injury;Male;Student;15;
20230525MNWAM;Non-gunshot Injury;Male;Student;16;
20230524NCJHG;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;18;
20230524PAOLP;Fatal;Male;Student;15;
20230522DCKID;Wounded;Male;Student;18;
20230521NJCEN;Wounded;Male;;13;
20230519NYPSS;Wounded;Male;Student;13;
20230518WAGAS;Wounded;Male;Student;19;
20230517DCTHW;Fatal;Male;Student;17;
20230516NJSCP;None;Male;Security Guard;Adult;
20230516OHEAC;Wounded;Male;Student;12;
20230512DCKEW;Wounded;Male;No Relation;Adult;
20230511MDNOF;Fatal;Male;No Relation;18;
20230510NYPSQ;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;16;
20230509CACAO;Wounded;Male;;Teen;
20230509CACAO;Wounded;Female;;Adult;
20230508SCSUS;None;Female;Student;Teen;
20230508NVVOL;Wounded;Male;Other Staff;Adult;
20230506SCCOL;Wounded;Female;Student;14;
20230505INLIE;Wounded;Male;No Relation;Adult;
20230502AZRAM;Wounded;Male;No Relation;Adult;
20230501MDPRS;Non-gunshot Injury;Male;Student;14;
20230501MIINF;Wounded;Female;Parent;27;
20230430KYPAP;Wounded;Male;Nonstudent;20;
20230430KYPAP;Wounded;Female;Student;18;
20230430KYPAP;Wounded;Female;Student;14;
20230430KYPAP;Wounded;Male;Student;17;
20230428TNWEK;Wounded;;Teacher;Adult;
20230427VAGER;Wounded;Male;Student;Teen;
20230427VAGER;Wounded;Male;Student;Teen;
20230425CAKIL;Fatal;Male;No Relation;Adult;
20230418TXRIH;Fatal;Male;No Relation;Adult;
20230418TXRIH;Wounded;Female;No Relation;Adult;
20230414AZDEP;Fatal;Male;No Relation;Adult;
20230412TXLOH;Wounded;Male;Student;14;
20230412CACES;Fatal;Male;Student;17;
20230412CACES;Non-gunshot Injury;Male;Student;16;
20230407WACHS;Fatal;Male;No Relation;Adult;
20230406NCSOW;Wounded;Male;Student;16;
20230405SCHOG;None;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20230404OHWOC;Wounded;Male;Student;17;
20230404OHWOC;Wounded;Male;Student;Teen;
20230403PAFAP;Wounded;Male;Nonstudent;16;
20230403PAFAP;Wounded;Male;Nonstudent;17;
20230331MSGNJ;Wounded;;;Adult;
20230331MSGNJ;Wounded;;;Adult;
20230331CAWOC;Wounded;;;Child;
20230331DCCAD;Wounded;Male;Student;Teen;
20230327TNCON;Fatal;Female;Student;9;
20230327TNCON;Fatal;Male;Student;9;
20230327TNCON;Fatal;Female;Student;9;
20230327TNCON;Fatal;Male;Teacher;61;
20230327TNCON;Fatal;Female;Teacher;61;
20230327TNCON;Fatal;Female;Other Staff;60;
20230327TNCON;Wounded;;Police Officer/SRO;Adult;
20230322ALANA;Wounded;Male;Student;18;
20230322COEAD;Wounded;Male;Other Staff;Adult;
20230322COEAD;Wounded;Male;Other Staff;Adult;
20230321TXTHD;Wounded;Male;Student;Teen;
20230320TXLAA;Fatal;Male;Student;16;
20230320TXLAA;Wounded;Female;Student;16;
20230316NCLOD;None;Male;Student;Teen;
20230316NYPSB;Wounded;Male;No Relation;16;
20230315COINB;Wounded;Male;Student;Teen;
20230315CALIG;Wounded;Male;Student;15;
20230315CALIG;Wounded;Male;Student;17;
20230314NYHAN;Wounded;Male;Student;16;
20230314NYHAN;Wounded;Male;No Relation;27;
20230314NYMAM;Wounded;Male;Student;17;
20230309OHMAM;Wounded;Male;;17;
20230308PAHEP;Wounded;Male;No Relation;21;
20230307INTHI;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;19;
20230306NYPAN;Wounded;Male;Student;15;
20230306TXPAA;Wounded;Male;Student;Teen;
20230306MISTR;Wounded;Male;Parent;40;
20230306MDPAB;Fatal;Male;Student;16;
20230303MTGAL;Non-gunshot Injury;;Other Staff;Adult;
20230301GASAS;Wounded;Male;Student;15;
20230301ILSAC;Fatal;Male;Police Officer/SRO;32;
20230227CAGAC;Fatal;Male;No Relation;Adult;
20230223OHWOC;Wounded;Male;Student;17;
20230217NCERE;None;Male;Student;9;
20230217ILCAC;Wounded;Female;Student;17;
20230216TXGAG;Fatal;Male;Student;17;
20230215OHCOC;None;Male;Student;Teen;
20230215MDWAB;Wounded;Female;Student;15;
20230213COEMD;Wounded;Male;Student;17;
20230213COEMD;Wounded;Male;;Adult;
20230214PAWEP;Wounded;Female;Student;15;
20230214PAWEP;Wounded;Male;Student;15;
20230214PAWEP;Wounded;Male;Student;15;
20230214PAWEP;Wounded;Male;Student;17;
20230213COEAD;Fatal;Male;Student;16;
20230213TXDAD;Fatal;Male;Student;15;
20230210CAHEF;Wounded;Female;Other Staff;Adult;
20230208NYWIB;Wounded;Male;Student;17;
20230208NYWIB;Wounded;Female;Student;15;
20230208NYWIB;Wounded;Male;Security Guard;37;
20230206FLMIM;Wounded;Male;Student;18;
20230130DCCOW;Fatal;Male;Other Staff;Adult;
20230130AZGIY;Non-gunshot Injury;Male;Student;Teen;
20230130AZGIY;Non-gunshot Injury;Male;Student;Teen;
20230128MOGLS;Wounded;Male;No Relation;Adult;
20230127NJHOW;None;;Nonstudent;Teen;
20230124MOTHK;Wounded;;Other Staff;Adult;
20230123TXABA;Non-gunshot Injury;;Student;Child;
20230123TXABA;Non-gunshot Injury;;Student;Child;
20230123IASTD;Fatal;;Student;18;Black
20230123IASTD;Fatal;;Student;16;Black
20230123IASTD;Wounded;;Other Staff;Will Holmes;Black
20230122WAMOT;Wounded;;No Relation;Adult;
20230122WAMOT;Wounded;;No Relation;Adult;
20230120MNWAS;Wounded;Female;Other Staff;Adult;
20230119NYEAB;Wounded;Male;Student;15;
20230118NYCAQ;Wounded;Female;Student;16;
20230118NYCAQ;Wounded;Male;Student;14;
20230118OKDED;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20230111VTSPV;Non-gunshot Injury;;Teacher;Adult;
20230110UTWES;Wounded;;Student;Teen;
20230110LABON;Wounded;Male;Student;16;
20230110OHJOC;Fatal;Male;Student;18;
20230107ORFRP;Wounded;Male;Student;Teen;
20230106MDBEB;Wounded;Male;Student;16;
20230106MDBEB;Wounded;Female;Student;17;
20230106MIOAD;Wounded;Male;Student;Teen;
20230106FLWEA;Wounded;Male;Student;Teen;
20230106VARIN;Wounded;Female;Teacher;Adult;
20230105NYFRR;None;Male;Student;16;
20230104MITRD;Fatal;Male;No Relation;Adult;
20221216ILBEC;Fatal;Male;Student;14;
20221216ILBEC;Fatal;Male;Student;15;
20221216ILBEC;Wounded;Male;Student;15;
20221216ILBEC;Wounded;Female;Student;15;
20221212ORGRP;Wounded;Male;Student;16;
20221209PAMEP;Fatal;Male;No Relation;31;
20221208MDSUD;Wounded;Male;Student;15;
20221206MOCOS;None;Female;Student;Teen;
20221206ILMIC;Fatal;15;Student;15;Black
20221205TNFRM;Wounded;Male;Student;15;Black
20221203WISOM;Fatal;Male;Student;16;
20221121MIHED;Wounded;Male;;Teen;
20221121MIHED;Wounded;Male;;Teen;
20221117INSOC;Wounded;Male;Student;17;
20221116NCLUL;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;43;
20221115TNMAN;Wounded;Female;No Relation;19;Black
20221112FLJOO;Fatal;Male;Former Student;19;
20221112FLJOO;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20221112FLJOO;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20221111MSRAR;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;21;Black
20221108WAINS;Fatal;Male;Student;17;
20221105TXDAF;Wounded;Female;Police Officer/SRO;Adult;
20221103GASHS;Wounded;;;;
20221029TXAVA;Wounded;Male;No Relation;;
20221028TXROR;Non-gunshot Injury;Male;Student;Teen;
20221026ILMIW;Wounded;Male;No Relation;16;
20221025NYTOS;Wounded;Male;Student;Teen;
20221024MOCES;Fatal;Female;Student;Teen;
20221024MOCES;Fatal;Female;Teacher;61;
20221024MOCES;Wounded;;Student;Teen;
20221024MOCES;Wounded;;Student;Teen;
20221024MOCES;Wounded;;Student;Teen;
20221024MOCES;Wounded;;Student;Teen;
20221024MOCES;Wounded;;Student;Teen;
20221024MOCES;Wounded;;Student;Teen;
20221024MOCES;Wounded;;Student;Teen;
20221022OHDUC;Wounded;Female;No Relation;17;
20221022ILCHC;Fatal;Male;No Relation;16;
20221022ILCHC;Wounded;Female;No Relation;13;
20221021OHSHS;Wounded;Male;No Relation;Adult;
20221021CAGRS;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;24;
20221020PAPAP;Wounded;Male;No Relation;Adult;
20221019TNROR;Wounded;Female;;17;
20221018NVSUL;Fatal;Male;No Relation;Adult;
20221018ORJEP;Wounded;Male;Student;Teen;
20221018ORJEP;Wounded;Male;Student;Teen;
20221016VAFAR;Wounded;Male;No Relation;Adult;
20221016VAFAR;Wounded;Male;No Relation;Adult;
20221016VAFAR;Wounded;Male;No Relation;Adult;
20221014NCJAG;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20221014VAWER;Fatal;Female;;Adult;
20221014VAWER;Wounded;Male;;Adult;
20221014LABOB;Fatal;Male;Student;15;
20221013NYSCB;Wounded;Male;No Relation;30;
20221010WIJAM;Wounded;Male;Nonstudent;Teen;
20221009MAWAA;Wounded;Male;No Relation;20;
20221007NCJHG;Wounded;Male;Student;17;
20221007OHWHT;Wounded;Male;Student;Teen;
20221007OHWHT;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20221007OHWHT;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20221004MAJB;Wounded;Male;Student;17;
20221001CACOO;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;34;
20220930OKMCT;Fatal;Male;Student;17;
20220930OKMCT;Wounded;Male;Student;17;
20220930OKMCT;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;20;
20220930OKMCT;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;9;
20220930NYNEN;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;43;
